first_gene,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16
thrL,0.0,-2.51773,0.0,0.0, , , , , , , , , , , , 
yaaX,0.0, , , , , , , , , , , , , , , 
talB,-0.532943, , , , , , , , , , , , , , , 
mog,-5.39436, , , , , , , , , , , , , , , 
htgA,0.342019, , , , , , , , , , , , , , , 
dnaK,-3.57336,-1.58574,-1.231, , , , , , , , , , , , , 
insL-1,0.0, , , , , , , , , , , , , , , 
sokC,-2.73475, , , , , , , , , , , , , , , 
nhaA,0.248269,0.0, , , , , , , , , , , , , , 
yaaY,-1.35222, , , , , , , , , , , , , , , 
ribF,-8.58886,-7.6434,-7.10463,-5.08986,-1.9167, , , , , , , , , , , 
rihC,-2.99562, , , , , , , , , , , , , , , 
dapB,-4.53439, , , , , , , , , , , , , , , 
carA,0.0,-0.413436, , , , , , , , , , , , , , 
caiF,0.0, , , , , , , , , , , , , , , 
fixA,0.0,0.359549,0.0,-9.67896, , , , , , , , , , , , 
yaaU,0.0, , , , , , , , , , , , , , , 
kefF,-3.8634,-0.840581, , , , , , , , , , , , , , 
folA,-6.6986, , , , , , , , , , , , , , , 
djlA,-0.331445, , , , , , , , , , , , , , , 
yabP,-2.72387,1.13784, , , , , , , , , , , , , , 
araC,1.40128, , , , , , , , , , , , , , , 
yabI,0.0, , , , , , , , , , , , , , , 
sgrS,0.0,0.0,0.0, , , , , , , , , , , , , 
leuO,0.0, , , , , , , , , , , , , , , 
ilvI,-7.91484,-4.20572, , , , , , , , , , , , , , 
fruL,0.0, , , , , , , , , , , , , , , 
cra,0.0, , , , , , , , , , , , , , , 
mraZ,-8.6763,-6.40245,-6.46468,-5.33858,-9.85945,-7.14532,-7.52433,-7.3434,-4.90508,-3.70721,-5.82311,-6.79752,-10.4375,-9.02237,-4.89629,-5.52352
secM,-5.48669,-6.85679,0.0, , , , , , , , , , , , , 
guaC,0.0, , , , , , , , , , , , , , , 
ampD,0.0,0.0, , , , , , , , , , , , , , 
pdhR,0.0,0.286425,0.26227,0.281179, , , , , , , , , , , , 
acnB,0.0, , , , , , , , , , , , , , , 
yacL,0.0, , , , , , , , , , , , , , , 
cueO,0.0, , , , , , , , , , , , , , , 
hpt,0.52702, , , , , , , , , , , , , , , 
yadG,0.379604,-1.96894, , , , , , , , , , , , , , 
yadI,0.292004, , , , , , , , , , , , , , , 
yadE,0.0, , , , , , , , , , , , , , , 
yadD,-0.307546, , , , , , , , , , , , , , , 
hrpB,0.0, , , , , , , , , , , , , , , 
mrcB,0.0, , , , , , , , , , , , , , , 
fhuA,0.233303,0.25335,0.0,0.258368, , , , , , , , , , , , 
clcA,0.267155, , , , , , , , , , , , , , , 
erpA,-0.406151, , , , , , , , , , , , , , , 
dgt,-1.09958, , , , , , , , , , , , , , , 
degP,-3.00044, , , , , , , , , , , , , , , 
cdaR,-0.296547, , , , , , , , , , , , , , , 
tff,-8.76357, , , , , , , , , , , , , , , 
rpsB,-6.77653,-7.70479, , , , , , , , , , , , , , 
pyrH,-6.14598, , , , , , , , , , , , , , , 
frr,-4.03082, , , , , , , , , , , , , , , 
dxr,-7.54949, , , , , , , , , , , , , , , 
ispU,-5.47362, , , , , , , , , , , , , , , 
cdsA,-9.41818, , , , , , , , , , , , , , , 
rseP,-5.22602, , , , , , , , , , , , , , , 
bamA,-5.47516,-5.84709,-5.70471,-7.72864,-7.09621,-5.77683,-4.26665,-8.04019, , , , , , , , 
accA,-5.84844, , , , , , , , , , , , , , , 
ldcC,0.0, , , , , , , , , , , , , , , 
yaeR,0.316036, , , , , , , , , , , , , , , 
tilS,-2.62071, , , , , , , , , , , , , , , 
