Gene,mean_1_aerobic_t30_2_chlor, std_1_aerobic_t30_2_chlor,mean_1_aerobic_t60_2_chlor, std_1_aerobic_t60_2_chlor,mean_1_aerobic_t180_2_chlor, std_1_aerobic_t180_2_chlor,mean_1_aerobic_t30_6_nor, std_1_aerobic_t30_6_nor,mean_1_aerobic_t60_6_nor, std_1_aerobic_t60_6_nor,mean_1_aerobic_t180_6_Nor, std_1_aerobic_t180_6_Nor
ydcL, -inf, nan, 0.311, 0.682, 0.324, 0.831, -inf, nan, -inf, nan, 0.263, 1.973
trg, -0.709, 0.801, 0.092, 0.195, -0.047, 0.415, -1.758, 0.829, -0.870, 0.578, -0.820, 0.969
hyfF, -0.284, 0.638, 0.280, 0.226, 0.424, 0.403, -0.167, 0.714, 0.019, 0.886, -0.374, 0.576
narQ, 0.307, 1.014, 0.418, 0.211, -0.072, 0.354, 0.008, 0.596, -0.233, 0.514, -0.864, 0.262
ispE, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
nrfD, -0.165, 0.853, 0.237, 0.385, 0.011, 0.237, -0.300, 0.727, -0.919, 0.405, -0.995, 0.229
pepQ, inf, nan, inf, nan, -inf, nan, inf, nan, inf, nan, -0.301, 0.764
yfdG, -0.111, 1.319, 0.441, 0.328, 0.071, 0.499, -0.146, 0.717, -1.146, 1.402, -0.680, 0.253
psiF, 0.458, 1.054, 0.262, 0.389, 0.481, 0.298, 0.341, 1.821, -0.842, 0.897, -0.157, 0.586
omrA, 0.035, 1.027, 1.059, 0.699, 0.564, 0.572, 0.173, 0.908, -inf, nan, -0.807, 0.324
omrB, -0.508, 0.573, 0.205, 0.323, -0.095, 0.471, 0.188, 0.606, -0.797, 0.597, -0.800, 0.934
glrK, -0.128, 0.408, 0.613, 0.558, 0.103, 0.332, -1.041, 0.944, 0.279, 1.717, -0.632, 0.477
b0725, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
yeiE, 0.235, 0.667, 0.388, 0.245, 0.175, 0.439, -0.017, 0.518, -0.179, 0.964, -0.726, 0.708
pheL, -2.170, nan, -0.415, nan, -2.000, nan, -inf, nan, -1.000, nan, -1.000, nan
yohK, 0.350, 1.217, 0.318, 0.410, 0.161, 0.242, -0.127, 1.126, -0.365, 1.119, -0.776, 0.351
mdoD, 0.396, 0.829, 0.518, 0.532, 0.447, 0.111, -0.167, 0.843, -0.750, 0.845, -0.599, 0.280
yedV, -inf, nan, inf, nan, inf, nan, -inf, nan, inf, nan, inf, nan
ybgC, 0.750, 0.446, 0.407, 0.150, -0.185, 0.331, 0.806, 0.348, -0.497, 1.136, -0.652, 0.428
cydA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
sseB, -0.197, 0.909, 0.474, 1.310, 0.154, 1.160, 0.185, 0.785, -inf, nan, -0.303, 1.200
wcaD, -0.153, 0.379, 0.767, 0.179, 0.238, 0.400, -0.335, 0.692, -0.486, 1.901, -0.671, 0.241
rhtA, -0.785, 0.635, 0.175, 0.388, 0.280, 0.348, -0.996, 0.477, -0.863, 0.434, -0.699, 1.286
ampG, -0.914, 0.790, 0.405, 0.277, -0.060, 0.305, -1.568, 1.162, -0.751, 0.974, -0.925, 0.456
ybjM, -0.046, 0.378, 0.770, 0.091, 0.397, 0.575, -0.380, 1.050, -inf, nan, -0.517, 0.959
ves, -inf, nan, 0.236, 1.824, 0.562, 1.294, 0.215, 1.917, -1.412, 1.574, -0.684, 1.621
b1052, -0.313, 0.347, 0.600, 1.025, -0.424, 0.847, -0.259, 1.154, -1.757, 0.837, -0.568, 0.493
rimM, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
creC, -0.181, 0.432, 0.634, 0.552, 0.232, 0.294, -0.360, 0.538, -0.113, 0.947, -0.380, 0.206
leuE, -0.672, 0.839, 0.595, 0.312, -0.032, 0.484, -0.507, 0.747, 0.197, 1.311, -0.582, 0.568
yjfP, -0.265, 1.936, 0.238, 0.869, 0.298, 0.557, -0.133, 1.974, -1.910, 1.450, -0.719, 0.716
hypT, -0.597, 1.323, 0.294, 0.488, 0.290, 0.387, -0.419, 1.610, -inf, nan, -0.789, 0.498
fdrA, -0.481, 1.321, 0.729, 1.022, 0.318, 0.197, -0.471, 0.727, 0.150, 1.197, -0.964, 0.691
ilvM, -0.589, 1.160, 0.698, 0.813, 0.750, 0.711, -inf, nan, 0.601, 1.660, -0.188, 0.900
malS, -0.181, 0.629, 0.363, 0.273, 0.138, 0.319, -1.180, 0.897, -0.220, 0.281, -0.789, 0.373
ygeM, -1.811, 0.594, 0.307, 0.248, -0.173, 0.573, -1.075, 1.004, 0.220, 0.889, -0.996, 1.618
yggC, 0.009, 1.035, 0.444, 0.213, 0.024, 0.627, -0.002, 1.071, -1.186, 0.843, -0.874, 0.476
ymfT, nan, nan, -inf, nan, 0.333, 0.460, inf, nan, -inf, nan, -0.686, 0.848
yhiL, inf, nan, 0.607, 0.368, -0.267, 0.633, inf, nan, -0.412, 0.447, -0.504, 0.193
fdoG, 0.818, 0.318, 0.700, 0.266, 0.637, 0.238, 0.946, 0.345, 0.031, 0.221, -0.196, 0.335
micF, -inf, nan, inf, nan, 0.013, 0.740, 0.204, 0.715, inf, nan, -inf, nan
glnU, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
yffB, inf, nan, -inf, nan, 0.221, 1.139, inf, nan, -inf, nan, -0.967, 1.087
yaeP, 0.142, 0.689, 0.304, 0.461, 0.333, 0.274, 0.363, 0.830, -0.656, 0.508, -0.736, 0.319
ftsI, inf, nan, inf, nan, 0.304, 0.422, inf, nan, inf, nan, -inf, nan
umuC, -0.031, 1.227, 0.571, 0.451, 0.264, 0.638, -0.656, 1.784, 0.383, 0.876, -0.609, 0.394
yjcB, 0.420, 0.682, 0.301, 0.651, 0.024, 0.602, -0.059, 1.263, -0.611, 1.161, -0.669, 0.120
ispA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
gntR, -0.159, 0.654, 0.399, 0.203, 0.078, 0.355, -0.096, 0.731, -0.149, 0.284, -0.493, 0.488
mhpC, 0.606, 0.555, 0.211, 0.428, 0.034, 0.268, 0.366, 0.285, -0.276, 0.280, -0.199, 0.751
rffT, -0.266, 0.906, -0.183, 0.396, 0.026, 0.319, -1.115, 0.773, -inf, nan, -1.833, 0.493
rlmN, -0.136, 1.012, 0.885, 1.043, 0.146, 0.236, -1.487, 1.450, -1.649, 1.909, -1.187, 0.715
yaeH, -1.182, 1.013, 0.105, 0.182, -0.000, 0.118, -1.473, 0.545, -1.423, 1.087, -0.558, 1.221
rcnR, -0.523, 1.459, 0.644, 0.660, inf, nan, -1.296, 1.684, -2.016, 1.660, inf, nan
ygjK, -0.183, 1.040, 0.087, 0.434, -0.098, 0.684, -0.172, 0.573, -1.244, 1.289, -0.020, 1.073
waaB, -1.203, 0.987, 0.693, 0.556, 0.282, 0.856, -1.174, 0.704, -0.668, 1.878, -0.710, 0.920
pgsA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
tusD, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
yhdX, 0.319, 0.786, 0.459, 0.161, 0.164, 0.439, 0.185, 0.564, -0.581, 1.201, -0.367, 0.520
yfaL, 0.045, 1.400, 0.300, 0.293, 0.243, 0.309, -0.714, 1.940, -0.446, 2.138, -0.721, 0.599
clpP, 0.133, 0.741, 0.472, 0.096, 0.305, 0.321, -0.546, 0.256, -0.461, 1.351, -0.559, 0.282
ompT, 0.088, 0.591, 0.906, 0.646, 0.074, 0.273, -0.035, 0.249, -0.083, 0.914, -0.653, 0.083
yjhB, -0.143, 0.334, 0.311, 0.537, 0.143, 0.638, -0.611, 0.720, -0.305, 1.089, -0.359, 0.243
aaeX, -1.109, 2.150, inf, nan, -inf, nan, -0.793, 2.009, inf, nan, -0.329, 0.504
hisQ, 0.269, 0.675, 0.515, 0.288, 0.221, 0.248, -0.167, 0.362, -0.089, 0.355, -0.258, 0.410
ampH, 0.192, 0.425, inf, nan, 0.632, 0.457, -inf, nan, inf, nan, -0.844, 0.321
yfdN, inf, nan, inf, nan, 1.189, 0.718, nan, nan, inf, nan, 0.718, 2.239
rprA, 0.020, nan, 0.130, nan, -0.196, nan, -0.239, nan, -0.143, nan, -1.101, nan
micC, inf, nan, 0.106, 0.677, inf, nan, inf, nan, -0.317, 0.275, inf, nan
tauA, 0.207, 0.615, 0.234, 0.238, 0.020, 0.239, -0.061, 0.849, -0.643, 0.817, -0.553, 0.307
yebV, -0.626, 1.024, 0.654, 0.400, -0.157, 0.912, -0.608, 0.927, -1.284, 2.116, -0.771, 0.909
yafV, 0.097, 0.397, 0.405, 0.441, -0.026, 0.446, -0.278, 1.053, -0.653, 1.318, -0.801, 0.381
fumA, -1.153, 0.767, -0.022, 0.524, -0.124, 0.547, -0.215, 0.588, -0.067, 0.752, -0.502, 0.790
mnmG, -0.253, 1.969, inf, nan, inf, nan, -inf, nan, inf, nan, inf, nan
pbpG, 0.014, 1.461, 0.422, 0.253, 0.460, 0.163, -0.900, 1.727, -0.388, 0.541, -0.436, 0.099
pyrD, 0.523, 0.446, 0.679, 0.509, 0.488, 0.130, -0.311, 1.185, 0.631, 0.772, -0.678, 0.284
pdxH, 0.250, 0.705, 0.351, 0.255, 0.306, 0.836, -0.892, 1.178, -2.070, 0.640, -0.608, 0.723
ybiP, -0.798, 0.380, 0.609, 0.882, 0.124, 0.185, -2.157, 2.137, -0.160, 1.070, -1.228, 1.290
cutC, -inf, nan, inf, nan, -inf, nan, -inf, nan, inf, nan, -inf, nan
alaS, nan, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
fkpA, 1.153, 0.492, 1.091, 0.730, 0.056, 0.552, 0.300, 0.622, -inf, nan, -1.004, 0.288
yabP, inf, nan, inf, nan, -0.456, 0.989, inf, nan, inf, nan, -inf, nan
tam, -inf, nan, 0.707, 0.365, -0.186, 0.505, -1.782, 2.148, -0.145, 1.327, -1.039, 0.912
ygfK, -0.747, 1.129, 0.473, 0.373, -0.529, 0.713, -inf, nan, -inf, nan, -1.369, 0.384
fimF, inf, nan, 1.070, 0.412, 0.069, 0.119, inf, nan, -inf, nan, -0.638, 0.656
rnhA, 0.393, 0.978, -0.022, 0.766, 1.403, 1.722, 2.095, 1.596, 0.264, 1.126, 2.402, 1.256
yhgN, -0.767, 0.608, 0.216, 0.402, 0.100, 0.202, -0.759, 1.049, -1.403, 1.514, -0.750, 0.338
ybdL, 0.082, 1.664, -0.140, 0.606, 0.536, 0.797, 0.466, 1.327, -2.126, 2.106, -0.818, 0.928
ybbW, -inf, nan, 0.302, 0.491, inf, nan, -0.444, 0.998, -0.516, 0.595, inf, nan
yhiK, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
ybiA, 0.787, 0.215, 0.518, 0.324, 0.366, 0.275, 0.708, 0.687, 0.304, 0.075, -0.542, 0.418
rpe, -0.446, 0.734, 0.456, 0.618, 0.596, 0.457, 0.194, 0.456, -0.083, 0.814, -0.475, 0.299
